lga_code,lga_name,latitude,longitude
24650,Melton City,-37.67987236,144.54473206
23270,Hume City,-37.68086302,144.91557252
23270,Hume City,-37.63688024,144.91956934
26980,Whitehorse City,-37.81743059,145.113764
26350,Stonnington City,-37.84830691,144.99032088
27350,Yarra City,-37.78601244,144.99576721
24600,Melbourne City,-37.81622433,144.97018091
25060,Moonee Valley City,-37.76086371,144.92246931
21180,Brimbank City,-37.79125355,144.82288581
23270,Hume City,-37.62695947,144.9250978
21180,Brimbank City,-37.79132325,144.82283345
27070,Whittlesea City,-37.67857245,145.06798611
24600,Melbourne City,-37.7973153,144.9679005
24600,Melbourne City,-37.8077054,144.9471551
23270,Hume City,-37.62671552,144.92551393
24970,Monash City,-37.89187781,145.14335806
23270,Hume City,-37.58277603,144.92432621
27350,Yarra City,-37.79028197,144.9951575
21610,Casey City,-38.05101182,145.3120205
24600,Melbourne City,-37.82285369,144.96859251
24330,Maribyrnong City,-37.791906,144.89166752
25900,Port Phillip City,-37.8444968,144.9465498
23270,Hume City,-37.58286625,144.92430533
24210,Manningham City,-37.76713283,145.08458437
24330,Maribyrnong City,-37.79981079,144.8983875
20660,Banyule City,-37.74893868,145.03934302
27070,Whittlesea City,-37.61076571,145.1336497
26350,Stonnington City,-37.85605952,144.99619087
24600,Melbourne City,-37.81022553,144.96340495
27070,Whittlesea City,-37.6118623,145.01907032
26350,Stonnington City,-37.8472784,144.9977416
25250,Moreland City,-37.7429451,144.9727476
20660,Banyule City,-37.73082494,145.06727583
24970,Monash City,-37.89828048,145.13626835
25900,Port Phillip City,-37.86854115,144.97787556
22170,Frankston City,-38.1106576,145.1435786
24330,Maribyrnong City,-37.78334774,144.87447516
23270,Hume City,-37.67074001,144.84898009
22170,Frankston City,-38.0842377,145.1997454
22670,Greater Dandenong City,-37.9551349,145.19409988
27260,Wyndham City,-37.96564794,144.68625358
26350,Stonnington City,-37.8303849,144.988715
25900,Port Phillip City,-37.83068686,144.96880963
21610,Casey City,-37.98466636,145.25232019
20660,Banyule City,-37.7485963,145.08023517
22310,Glen Eira City,-37.8686385,145.0286441
21180,Brimbank City,-37.79129055,144.82279071
21890,Darebin City,-37.74595045,145.0169499
21890,Darebin City,-37.729709,145.015163
24970,Monash City,-37.89725966,145.10693665
27070,Whittlesea City,-37.62221579,145.01074032
23670,Knox City,-37.89998236,145.31849755
23110,Hobsons Bay City,-37.8390537,144.85646853
23270,Hume City,-37.686804,144.848394
20660,Banyule City,-37.76175153,145.06717526
24330,Maribyrnong City,-37.81736536,144.88957984
27070,Whittlesea City,-37.60929104,145.09830551
21180,Brimbank City,-37.77783394,144.8243091
24330,Maribyrnong City,-37.8065292,144.8804153
23430,Kingston City,-37.933216,145.12657817
21110,Boroondara City,-37.82691187,145.05362645
25340,Mornington Peninsula Shire,-38.22909643,145.02922343
27260,Wyndham City,-37.90790231,144.734987
27070,Whittlesea City,-37.65028886,145.06824724
23430,Kingston City,-37.93294456,145.1265244
21610,Casey City,-38.14342746,145.25515539
24210,Manningham City,-37.77280355,145.12695436
27260,Wyndham City,-37.86387501,144.59983371
24970,Monash City,-37.86157704,145.12563873
27350,Yarra City,-37.78957676,144.97451365
27260,Wyndham City,-37.96594512,144.68586374
25900,Port Phillip City,-37.86047526,144.97206415
26350,Stonnington City,-37.8515442,144.9882347
24970,Monash City,-37.92960618,145.16228889
26350,Stonnington City,-37.837309,144.99442887
25340,Mornington Peninsula Shire,-38.218458,145.03826
24330,Maribyrnong City,-37.79406422,144.87370667
25250,Moreland City,-37.77551462,144.97116548
24600,Melbourne City,-37.81176427,144.96456203
23430,Kingston City,-37.9906956,145.0708387
21610,Casey City,-38.02680371,145.35705249
23430,Kingston City,-37.92980425,145.11705419
22170,Frankston City,-38.1552549,145.1862433
25900,Port Phillip City,-37.8794303,144.9921799
27070,Whittlesea City,-37.60937741,145.09827772
24600,Melbourne City,-37.82180111,144.97873527
24330,Maribyrnong City,-37.81392078,144.89423043
24600,Melbourne City,-37.82299988,144.98208987
22310,Glen Eira City,-37.91792692,145.03409806
21180,Brimbank City,-37.79865273,144.83602859
23430,Kingston City,-38.05515279,145.12120818
23430,Kingston City,-38.05214989,145.12675608
24600,Melbourne City,-37.81700134,144.96121731
22670,Greater Dandenong City,-37.96742211,145.17684077
24600,Melbourne City,-37.7861421,144.9577443
25250,Moreland City,-37.76675501,144.96649541
24600,Melbourne City,-37.8082358,144.95878693
27070,Whittlesea City,-37.67138549,145.06303653
22670,Greater Dandenong City,-37.96454782,145.15181562
21610,Casey City,-38.02192242,145.31268895
27260,Wyndham City,-37.8935593,144.7354789
24600,Melbourne City,-37.82199277,144.97908128
21450,Cardinia Shire,-38.08938876,145.47634933
24210,Manningham City,-37.7911367,145.1570604
24600,Melbourne City,-37.81444714,144.94824969
20660,Banyule City,-37.6972663,145.0838019
24210,Manningham City,-37.75120044,145.19185709
24210,Manningham City,-37.77679882,145.1744981
27070,Whittlesea City,-37.69110866,145.05705778
27260,Wyndham City,-37.85590559,144.72718141
26350,Stonnington City,-37.8691604,145.0343977
26350,Stonnington City,-37.83909817,144.99335216
21890,Darebin City,-37.71264654,145.00191186
26980,Whitehorse City,-37.822249,145.1408862
24330,Maribyrnong City,-37.7867482,144.8881848
20910,Bayside City,-37.9204676,145.0071671
27350,Yarra City,-37.79060266,144.99529091
23670,Knox City,-37.88512879,145.26844742
21110,Boroondara City,-37.8439381,145.0629809
22670,Greater Dandenong City,-37.9968405,145.20885549
24600,Melbourne City,-37.830369,144.979606
27070,Whittlesea City,-37.60925078,145.09818212
27070,Whittlesea City,-37.61860022,145.1005574
26980,Whitehorse City,-37.82271406,145.15936358
24600,Melbourne City,-37.81449071,144.94828703
25900,Port Phillip City,-37.8671505,144.9802318
24330,Maribyrnong City,-37.79114974,144.88380166
24330,Maribyrnong City,-37.78817321,144.87889953
21110,Boroondara City,-37.81447794,145.0248386
24970,Monash City,-37.8950626,145.0799073
25060,Moonee Valley City,-37.7101459,144.8938406
22170,Frankston City,-38.0807977,145.2059679
27450,Yarra Ranges Shire,-37.91803396,145.34851197
24600,Melbourne City,-37.8208752,144.9558518
26350,Stonnington City,-37.88144186,145.09006262
27450,Yarra Ranges Shire,-37.788281,145.320613
24600,Melbourne City,-37.81702004,144.96571933
24330,Maribyrnong City,-37.79851677,144.90064149
22310,Glen Eira City,-37.86192135,145.01749034
24210,Manningham City,-37.78492273,145.21382016
24650,Melton City,-37.67965385,144.54492614
21610,Casey City,-38.11821937,145.25587424
22170,Frankston City,-38.18337245,145.15007901
20660,Banyule City,-37.76182751,145.06689737
27260,Wyndham City,-37.8539052,144.6708025
23270,Hume City,-37.59665121,144.69961178
25250,Moreland City,-37.76423484,144.95976695
25900,Port Phillip City,-37.83859698,144.92639788
21110,Boroondara City,-37.84968141,145.05475783
24970,Monash City,-37.88195292,145.14373089
24210,Manningham City,-37.76440591,145.08296108
24600,Melbourne City,-37.83863357,144.97657395
25060,Moonee Valley City,-37.77597029,144.92564034
24210,Manningham City,-37.75141173,145.19176899
25250,Moreland City,-37.76841608,144.97237165
27350,Yarra City,-37.78295684,144.97175094
21110,Boroondara City,-37.83968705,145.08454288
24650,Melton City,-37.66343079,144.56539892
24600,Melbourne City,-37.82027778,144.96833333
26980,Whitehorse City,-37.80707193,145.20225741
25710,Nillumbik Shire,-37.72242454,145.15748179
24600,Melbourne City,-37.8140352,144.9528182
24600,Melbourne City,-37.81507891,144.96741733
27070,Whittlesea City,-37.6612409,145.05457409
24600,Melbourne City,-37.8167,144.967
24600,Melbourne City,-37.81622635,144.96642382
27070,Whittlesea City,-37.6093916,145.09838611
25900,Port Phillip City,-37.874428,144.9898765
23430,Kingston City,-37.92983875,145.11690589
21890,Darebin City,-37.7033543,145.0151233
22170,Frankston City,-38.0807516,145.2059908
24600,Melbourne City,-37.8181209,144.9616933
24600,Melbourne City,-37.83831346,144.97647362
24600,Melbourne City,-37.82310789,144.9761166
23430,Kingston City,-37.98348811,145.06557841
22670,Greater Dandenong City,-37.98411491,145.16628991
22170,Frankston City,-38.1463317,145.1230511
22670,Greater Dandenong City,-37.98256704,145.21581756
23270,Hume City,-37.67489029,144.94501585
20910,Bayside City,-37.91501891,144.99651121
27260,Wyndham City,-37.89004117,144.74183373
25900,Port Phillip City,-37.8746149,144.9899
27350,Yarra City,-37.8114087,145.0140185
21180,Brimbank City,-37.79564367,144.81083108
25900,Port Phillip City,-37.8743293,144.9901012
24600,Melbourne City,-37.83386081,144.98057539
25250,Moreland City,-37.7755,144.971
23270,Hume City,-37.69365318,144.89367189
25250,Moreland City,-37.7755,144.971
21110,Boroondara City,-37.8311613,145.0345667
24330,Maribyrnong City,-37.8133354,144.8903384
26350,Stonnington City,-37.83414375,145.01484804
24330,Maribyrnong City,-37.78999437,144.85383831
24600,Melbourne City,-37.8233486,144.974442
23110,Hobsons Bay City,-37.8684882,144.8946535
25900,Port Phillip City,-37.8746127,144.9899709
24600,Melbourne City,-37.81688437,144.94919459
24330,Maribyrnong City,-37.7900163,144.85380897
27260,Wyndham City,-37.89215437,144.77580747
21890,Darebin City,-37.71074766,145.01303163
23270,Hume City,-37.67490885,144.94497817
25060,Moonee Valley City,-37.77225853,144.90973855
25060,Moonee Valley City,-37.77190679,144.90730932
20660,Banyule City,-37.70004159,145.09383015
22310,Glen Eira City,-37.86192184,145.01749499
20660,Banyule City,-37.7529732,145.0392381
26350,Stonnington City,-37.84194339,145.01862241
24210,Manningham City,-37.77288615,145.12668802
20910,Bayside City,-37.95652082,145.04492346
24330,Maribyrnong City,-37.8133452,144.8903507
24600,Melbourne City,-37.82522134,144.96055675
21180,Brimbank City,-37.79866732,144.83614133
24600,Melbourne City,-37.82208445,144.92643882
26980,Whitehorse City,-37.85131088,145.17634108
22670,Greater Dandenong City,-37.97234344,145.21600342
24600,Melbourne City,-37.81742785,144.9702285
24330,Maribyrnong City,-37.78883205,144.88568472
24410,Maroondah City,-37.8229306,145.2352846
24210,Manningham City,-37.8009609,145.1672626
24210,Manningham City,-37.78144983,145.15049441
23270,Hume City,-37.6926488,144.8814223
22670,Greater Dandenong City,-37.99331924,145.16017858
23670,Knox City,-37.84577361,145.2381025
23270,Hume City,-37.6927213,144.8813523
24970,Monash City,-37.86718997,145.12606561
24600,Melbourne City,-37.82102743,144.95538661
23270,Hume City,-37.6927406,144.8813716
22310,Glen Eira City,-37.9147429,145.0731792
22310,Glen Eira City,-37.86194962,145.01765609
24600,Melbourne City,-37.79368962,144.97110448
25900,Port Phillip City,-37.86793618,144.99039515
22310,Glen Eira City,-37.90883215,145.05045274
22670,Greater Dandenong City,-37.986289,145.20643
22170,Frankston City,-38.1318264,145.1337155
27260,Wyndham City,-37.89235788,144.77584871
24650,Melton City,-37.67895454,144.72907844
25900,Port Phillip City,-37.85669527,144.98365335
24600,Melbourne City,-37.8193012,144.950801
24600,Melbourne City,-37.8217209,144.95165837
24600,Melbourne City,-37.8192946,144.9507997
23670,Knox City,-37.91755556,145.23285965
22670,Greater Dandenong City,-37.986289,145.20643
24600,Melbourne City,-37.7822439,144.91052275
23110,Hobsons Bay City,-37.83890936,144.86476245
22670,Greater Dandenong City,-37.986289,145.20643
23270,Hume City,-37.70244122,144.87992891
24600,Melbourne City,-37.82020268,144.98197337
24600,Melbourne City,-37.81945879,144.94571527
24330,Maribyrnong City,-37.8133773,144.8903786
20660,Banyule City,-37.7208046,145.070421
24410,Maroondah City,-37.8360185,145.2272181
27070,Whittlesea City,-37.68560727,145.05875126
21110,Boroondara City,-37.79065664,145.03782928
23270,Hume City,-37.6719187,144.91695616
27070,Whittlesea City,-37.67943654,145.03356746
24650,Melton City,-37.67899684,144.72898385
27260,Wyndham City,-37.8528306,144.7215445
21180,Brimbank City,-37.79660145,144.83588414
24600,Melbourne City,-37.81442776,144.9640174
24600,Melbourne City,-37.8204363,144.9581235
20910,Bayside City,-37.92040096,145.00703693
23270,Hume City,-37.64750451,144.8995091
25900,Port Phillip City,-37.8477839,144.978574
27350,Yarra City,-37.7908222,144.9695985
27350,Yarra City,-37.7926898,144.9756867
20910,Bayside City,-37.92037917,145.00706987
26350,Stonnington City,-37.83842483,144.99356479
23670,Knox City,-37.8389911,145.2664029
25060,Moonee Valley City,-37.74879943,144.91324495
23670,Knox City,-37.89630948,145.24599435
21890,Darebin City,-37.77147833,144.99835877
22670,Greater Dandenong City,-37.986289,145.20643
24650,Melton City,-37.67910722,144.7289274
24600,Melbourne City,-37.81004153,144.9584487
27260,Wyndham City,-37.840187,144.65365745
21110,Boroondara City,-37.8251752,145.046548
20910,Bayside City,-37.92036626,145.00720558
24330,Maribyrnong City,-37.8111227,144.8802614
22170,Frankston City,-38.080603,145.2056262
27070,Whittlesea City,-37.61877799,145.10007191
26350,Stonnington City,-37.8480384,144.9929405
25900,Port Phillip City,-37.8743952,144.9899283
21180,Brimbank City,-37.79668568,144.83591122
23670,Knox City,-37.85925283,145.24762906
24970,Monash City,-37.8709749,145.1053447
27350,Yarra City,-37.83263426,144.99659859
27350,Yarra City,-37.7884799,144.979008
25060,Moonee Valley City,-37.7357179,144.8884605
24600,Melbourne City,-37.78280562,144.95934604
24600,Melbourne City,-37.823681,144.9303062
24600,Melbourne City,-37.79757,144.921355
21110,Boroondara City,-37.84387924,145.05433021
21110,Boroondara City,-37.809404,145.0147772
23670,Knox City,-37.8389923,145.2664034
24600,Melbourne City,-37.81315263,144.962229
26980,Whitehorse City,-37.81964794,145.1316485
23430,Kingston City,-38.05224624,145.12679514
24600,Melbourne City,-37.79488477,144.92077215
24330,Maribyrnong City,-37.8027675,144.8860837
24650,Melton City,-37.70107507,144.74860223
22670,Greater Dandenong City,-37.986289,145.20643
22170,Frankston City,-38.0806037,145.2056531
24600,Melbourne City,-37.79662622,144.9609871
23670,Knox City,-37.86048004,145.28554789
24600,Melbourne City,-37.8200414,144.9436849
25900,Port Phillip City,-37.87187152,144.99606236
21610,Casey City,-38.0657518,145.31091546
22670,Greater Dandenong City,-37.9376304,145.17336029
20910,Bayside City,-37.9328827,145.0109507
25340,Mornington Peninsula Shire,-38.22271731,145.17592801
25900,Port Phillip City,-37.83988211,144.94094722
24210,Manningham City,-37.75459909,145.1302928
25900,Port Phillip City,-37.86374576,144.98203949
25060,Moonee Valley City,-37.73544852,144.86631457
25060,Moonee Valley City,-37.73548062,144.86636802
22670,Greater Dandenong City,-37.97198606,145.21639726
22670,Greater Dandenong City,-37.97190191,145.21628252
22170,Frankston City,-38.18322997,145.1499425
21890,Darebin City,-37.75649503,145.01374006
24410,Maroondah City,-37.8359732,145.2660951
25060,Moonee Valley City,-37.78347411,144.93433707
22170,Frankston City,-38.1096906,145.1359
25900,Port Phillip City,-37.83692399,144.95471819
24970,Monash City,-37.9127378,145.1345854
23270,Hume City,-37.67166043,144.84640572
22310,Glen Eira City,-37.87719126,145.04428117
20910,Bayside City,-37.92042055,145.00706282
27260,Wyndham City,-37.8588476,144.7243135
22310,Glen Eira City,-37.88425199,145.05803394
23670,Knox City,-37.90014588,145.31857118
24600,Melbourne City,-37.81591964,144.95348447
25250,Moreland City,-37.70291534,144.90266749
26350,Stonnington City,-37.85542009,145.02526573
27070,Whittlesea City,-37.67138907,145.05976688
27070,Whittlesea City,-37.64780982,145.02211175
22670,Greater Dandenong City,-37.986289,145.20643
26980,Whitehorse City,-37.80675485,145.1596426
24970,Monash City,-37.8672005,145.12601178
24600,Melbourne City,-37.81847523,144.96446439
22170,Frankston City,-38.18323784,145.14998535
22670,Greater Dandenong City,-37.97177881,145.21694772
27350,Yarra City,-37.8128057,145.0088378
20660,Banyule City,-37.7447153,145.069415
24330,Maribyrnong City,-37.78802119,144.89712643
23670,Knox City,-37.86918129,145.28843427
23270,Hume City,-37.6940562,144.894031
23110,Hobsons Bay City,-37.8349219,144.8062916
24650,Melton City,-37.70095947,144.74840493
24650,Melton City,-37.70090469,144.74854526
22670,Greater Dandenong City,-37.986289,145.20643
27350,Yarra City,-37.79942066,144.99997833
22670,Greater Dandenong City,-37.986289,145.20643
20910,Bayside City,-37.9241317,145.0139323
20910,Bayside City,-37.9241195,145.0139318
20910,Bayside City,-37.9240354,145.014041
22670,Greater Dandenong City,-37.986289,145.20643
22670,Greater Dandenong City,-37.986289,145.20643
23270,Hume City,-37.67118645,144.84815589
24600,Melbourne City,-37.8450803,144.9825023
25060,Moonee Valley City,-37.73541978,144.86640989
27350,Yarra City,-37.82401451,144.98953625
27350,Yarra City,-37.81554241,145.01269177
24970,Monash City,-37.8709682,145.1053514
26980,Whitehorse City,-37.82169875,145.13852247
26980,Whitehorse City,-37.81441896,145.15644662
22670,Greater Dandenong City,-37.9697392,145.2139077
22170,Frankston City,-38.18334652,145.14995179
21890,Darebin City,-37.7360442,145.0249538
24600,Melbourne City,-37.8257086,144.971677
21890,Darebin City,-37.6946014,145.0059074
26350,Stonnington City,-37.85097318,145.00983355
24600,Melbourne City,-37.8190002,144.9551544
21110,Boroondara City,-37.85729826,145.0939608
24600,Melbourne City,-37.80160354,144.96676508
24970,Monash City,-37.88629059,145.15425123
24600,Melbourne City,-37.8190002,144.9551544
27070,Whittlesea City,-37.6683998,145.0636139
23270,Hume City,-37.67125294,144.83714104
23270,Hume City,-37.64744776,144.89945713
24600,Melbourne City,-37.81028604,144.96299786
21110,Boroondara City,-37.8303,145.05
22170,Frankston City,-38.1106038,145.1433419
25710,Nillumbik Shire,-37.68973681,145.10965741
24600,Melbourne City,-37.8111613,144.9656642
24600,Melbourne City,-37.82294062,144.96205626
24600,Melbourne City,-37.80565903,144.96153097
24600,Melbourne City,-37.81324964,144.95890036
27350,Yarra City,-37.7839558,144.9857289
24600,Melbourne City,-37.8124008,144.9677429
23270,Hume City,-37.66987719,144.84896421
24600,Melbourne City,-37.80732088,144.97017987
24600,Melbourne City,-37.82766667,144.985
26350,Stonnington City,-37.85044724,144.99357269
24970,Monash City,-37.91019087,145.138759
25900,Port Phillip City,-37.86707169,144.97994468
20910,Bayside City,-37.91763247,144.9868094
27350,Yarra City,-37.8194,145.007
24600,Melbourne City,-37.816991,144.965737
21890,Darebin City,-37.7121591,145.0088006
24600,Melbourne City,-37.79790648,144.96780106
25900,Port Phillip City,-37.8328285,144.9492188
25250,Moreland City,-37.7668686,144.9606323
21890,Darebin City,-37.7196021,145.0510962
23670,Knox City,-37.91591069,145.26494758
25250,Moreland City,-37.7789704,144.9697508
24600,Melbourne City,-37.80184656,144.96668913
20910,Bayside City,-37.9823333,145.0314299
24600,Melbourne City,-37.8166618,144.9655914
21180,Brimbank City,-37.794005,144.80968
26350,Stonnington City,-37.83496892,144.98780058
23270,Hume City,-37.67125294,144.83714104
25900,Port Phillip City,-37.8474655,144.9774017
20660,Banyule City,-37.7711954,145.0419931
24600,Melbourne City,-37.8162648,144.967222
25060,Moonee Valley City,-37.71411709,144.88519344
24330,Maribyrnong City,-37.8163109,144.8908234
22170,Frankston City,-38.13684186,145.14196412
21110,Boroondara City,-37.84737198,145.07837995
27070,Whittlesea City,-37.4833,145.083
24600,Melbourne City,-37.8167,144.967
26350,Stonnington City,-37.84955707,144.99300999
20660,Banyule City,-37.75723814,145.06181858
24600,Melbourne City,-37.8333,144.983
22310,Glen Eira City,-37.86328976,145.01854961
20660,Banyule City,-37.7298982,145.0714942
24600,Melbourne City,-37.810578,144.9615215
24600,Melbourne City,-37.81009528,144.9660936
24600,Melbourne City,-37.8167,144.967
24410,Maroondah City,-37.8252,145.242
22170,Frankston City,-38.15536,145.17008
24600,Melbourne City,-37.814107,144.96328
26350,Stonnington City,-37.85593704,145.046386
23430,Kingston City,-38.03878769,145.10696106
26350,Stonnington City,-37.86237665,145.01961211
21180,Brimbank City,-37.7648813,144.8150963
27350,Yarra City,-37.8064613,144.9822693
24600,Melbourne City,-37.83194921,144.98311761
21180,Brimbank City,-37.7872368,144.8269592
26350,Stonnington City,-37.8865056,145.08347511
21110,Boroondara City,-37.8229904,145.0372925
24600,Melbourne City,-37.81711072,144.96666032
24600,Melbourne City,-37.81333121,144.96440113
21450,Cardinia Shire,-38.06574518,145.44349722
22310,Glen Eira City,-37.9054936,145.06429472
22670,Greater Dandenong City,-37.98690629,145.21279472
25900,Port Phillip City,-37.83920787,144.95438576
24600,Melbourne City,-37.8167,144.967
24600,Melbourne City,-37.8167,144.967
24600,Melbourne City,-37.8167,144.967
25060,Moonee Valley City,-37.7343852,144.8738134
25900,Port Phillip City,-37.8333511,144.9603271
21610,Casey City,-38.03773652,145.27965403
27070,Whittlesea City,-37.6534377,145.0986401
25900,Port Phillip City,-37.8339386,144.9500122
24600,Melbourne City,-37.8148422,144.9729614
27350,Yarra City,-37.83177109,144.99686197
27350,Yarra City,-37.79559274,144.9880661
25900,Port Phillip City,-37.83745752,144.94220614
24600,Melbourne City,-37.82007738,144.969419
22170,Frankston City,-38.1,145.133
27350,Yarra City,-37.80753,144.98258
27350,Yarra City,-37.801,144.979
24600,Melbourne City,-37.8333,144.983
24600,Melbourne City,-37.79631531,144.93927667
27450,Yarra Ranges Shire,-37.91941946,145.40393268
21890,Darebin City,-37.7802486,144.9969312
23270,Hume City,-37.7,144.867
25900,Port Phillip City,-37.8356501,144.94452569
25900,Port Phillip City,-37.86467256,144.96503341
25900,Port Phillip City,-37.82988,144.96348
22670,Greater Dandenong City,-37.95057984,145.15108478
22670,Greater Dandenong City,-37.95057984,145.15108478
24600,Melbourne City,-37.82308333,144.96914667
